#NAME,MSINI,A,PER,TT,DEPTH,I,R,T14,RA,DEC,V,VURL,VREF,TEFF,RSTAR
#,mjupiter,au,day,,,deg,rjupiter,day,hr,deg,,,,k,rsun
XO-3 b,13.0547,0.0477112,3.1915426,2454025.3967,0.00894327,79.32,1.217,,4.364640278286403,57.81716666665343,9.91,,,6429,2.07898
Kepler-122 e,,0.221179,37.993273,2454996.01553,,,0.231956,7.155,19.40746111128065,39.94911111089918,,,,6050,1.216
Kepler-400 b,,0.0848304,9.024389,2454966.53848,,,0.147203,3.128,19.39630000008477,40.48003888871935,,,,5886,1.145
CoRoT-9 b,0.843564,0.406991,95.2738,2454603.3447,0.013225,89.99,1.05,0.336667,18.71911388900545,6.204138888782925,13.69,,,5625,0.94
Kepler-368 b,,0.175473,26.84768,2454975.16776,,,0.290838,10.085,19.45866944419013,45.38793055534363,,,,5502,2.019
Kepler-335 b,,0.0685981,6.562331,2454965.60635,,,0.302436,4.035,19.73761944452922,45.42861944410536,,,,5877,1.854
WASP-16 b,0.839364,0.0417858,3.1186009,2454584.42878,0.01199,85.22,1.008,0.08,14.31220055580139,-20.27549999978807,11.3,,,5700,0.946
Kepler-316 b,,0.0335097,2.240508,2454970.82156,,,0.0945669,1.39,19.38839999993642,44.18411111109786,,,,4204,0.52
Kepler-338 b,,0.112199,13.726976,2454971.74833,,,0.217682,7.288,18.86526111072964,40.78435000002384,,,,5923,1.735
Kepler-129 b,,0.123186,15.79186,2455009.82166,,,0.211437,7.278,19.02074999994702,47.84856111102634,,,,5770,1.641
PH-1 b,,0.629412,138.506,2455074.7,0.00103813,89.989,0.550851,,19.88100666681925,39.95510000016954,,,,6407,1.759
Kepler-306 d,,0.131044,17.326644,2455193.50885,,,0.220359,4.777,19.23591111103694,40.61614999983046,,,,4954,0.719
Kepler-37 d,,0.21202,39.792187,2455008.2,0.0005749,89.335,0.178,0.193338,18.93730722215441,44.51813888894187,9.77,,,5417,0.77
WASP-79 b,0.884655,0.0534741,3.6623817,2455545.23479,0.01148,85.4,1.7,0.1563,4.424728055530124,-30.60041666666667,10.04,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,Smalley 2012,6600,1.64
Kepler-107 b,,0.0423212,3.179997,2454966.49904,,,0.139174,3.492,19.80188055555026,48.20861111111111,,,,5851,1.411
Kepler-30 d,0,0.534239,143.343,2455273.53,0.0083,89.84,0.784384,0.322,19.01891000005934,38.9472777779897,,,,5498,0.95
Kepler-158 c,,0.18282,28.551383,2455018.47678,,,0.169507,4.248,18.93548055556085,39.78133055580987,,,,4623,0.624
Kepler-357 c,,0.128672,16.85837,2454975.34264,,,0.238201,2.016,19.41621111128065,44.0087194442749,,,,5036,0.834
WASP-42 b,0.496749,0.0547344,4.9816877,2455650.56723,0.0165,88.3,1.063,0.12042,12.86543638865153,-42.07358333322738,12.57,,,5200,0.85
Kepler-53 d,,0.0893308,9.751962,2454971.7852,,,0.189134,4.19,19.36411944495307,40.56246111128065,,,,6085,0.958
Kepler-48 b,0.0124219,0.0534034,4.778,2454957.06113,0.000373185,,0.167707,0.118383,19.94261416647169,40.94900000042385,,,,5190,0.89
HAT-P-41 b,0.799609,0.0425775,2.694047,2454983.86167,0.0105678,87.7,1.685,0.1704,19.82151083310445,4.672416666878594,11.36,,,6390,1.683
Kepler-42 c,,0.00585017,0.45328509,2454966.86952,0.00156025,,0.0650682,,19.48126555548774,44.6193333334393,16.124,,,3068,0.17
